qid,video_id,youtube_url,duration,question_type,capability,question,question_prompt,A,B,C,D,E
0500-7,nBaWVmaLh1A,https://www.youtube.com/shorts/nBaWVmaLh1A,33.11,Multiple-choice Question with a Single Correct Answer,Element Counting,How many ping-pong balls are in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Two,Three,Four,One,None of the above
0501-7,fyq0pd_pFvE,https://www.youtube.com/shorts/fyq0pd_pFvE,46.87,Multiple-choice Question with a Single Correct Answer,Element Counting,How many dumplings does the man in purple have on his plate?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",6,2,5,10,None of the above
0512-7,FkNdEfxYYc4,https://www.youtube.com/shorts/FkNdEfxYYc4,48.09,Multiple-choice Question with a Single Correct Answer,Element Counting,How many pots did the ping-pong ball hit at the beginning of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Seven,Five,Two,Ten,None of the above
0520-7,SdvMPe6XF7w,https://www.youtube.com/shorts/SdvMPe6XF7w,57.89,Multiple-choice Question with a Single Correct Answer,Plot Attribute,Which letters require the minimum number of people to form?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",W,I,"I', 'L', 'O', and 'V'",All of the above,None of the above
0522-7,rujdEa3MVYo,https://www.youtube.com/shorts/rujdEa3MVYo,60.08,Multiple-choice Question with a Single Correct Answer,Element Counting,How many men in hats are seen in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three,Four,One,Two,None of the above
0525-7,Ai4fCLMGL9Y,https://www.youtube.com/shorts/Ai4fCLMGL9Y,28.5,Multiple-choice Question with a Single Correct Answer,Element Counting,How many legs does the person not in the wheelchair have?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",One leg,Two legs,Three legs,No legs,None of the above
0526-7,Z5jKO_Qql30,https://www.youtube.com/shorts/Z5jKO_Qql30,34.6,Multiple-choice Question with a Single Correct Answer,Element Counting,How many lighters is the man holding in the second video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three,Two,Four,One,None of the above
0530-7,yzlFm0LpRpM,https://www.youtube.com/shorts/yzlFm0LpRpM,33.56,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which ball did the man in blue kick in the fifth scene?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Bottom ball,Top ball,Middle ball,,None of the above
0539-7,HXeyvC8MeBU,https://www.youtube.com/shorts/HXeyvC8MeBU,60.08,Multiple-choice Question with a Single Correct Answer,Element Counting,How many people not in a car are scared by the masked person in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Four,Six,Five,Seven,None of the above
0541-7,zb6Bnsm3_zo,https://www.youtube.com/shorts/zb6Bnsm3_zo,11.17,Multiple-choice Question with a Single Correct Answer,Element Counting,How many teeth are visible throughout the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",12,8,9,10,None of the above
0542-7,5mFcSiUxAus,https://www.youtube.com/shorts/5mFcSiUxAus,59.99,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),Which scene in the video serves as a metaphor for the passage of time during the bread's cooking?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The person cooking over a fire.,The person walking through a forest.,The person bathing under a waterfall.,"The person sitting under a waterfall, appearing to meditate.",None of the above
0548-7,m8tfdmm3g2A,https://www.youtube.com/shorts/m8tfdmm3g2A,58.58,Multiple-choice Question with a Single Correct Answer,Element Localization,What is the second thing the man clips with a car window?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Sausage,Cucumber,Apple,Carrot,None of the above
0551-7,HsXS1Qt11cU,https://www.youtube.com/shorts/HsXS1Qt11cU,17.62,Multiple-choice Question with a Single Correct Answer,Element Attributes,What is the state of the switches on the wall in the scene with the woman kneeling?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Both are on.,Both are off.,Both are in the middle position.,"One is on, and one is off.",None of the above
0552-7,lAmfy5J8iEA,https://www.youtube.com/shorts/lAmfy5J8iEA,59.76,Multiple-choice Question with a Single Correct Answer,Element Counting,How many slices of bread are on the plate that the person in the kitchen is carrying?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Four slices,Five slices,Two slices,Three pairs of slices,None of the above
0561-7,PPLTAZ2pBK0,https://www.youtube.com/shorts/PPLTAZ2pBK0,21.48,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times does the man's watch appear in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",3,2,7,10,None of the above
0566-7,jyXFmTycx_k,https://www.youtube.com/watch?v=jyXFmTycx_k,60.65,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),What do the scenes with the broken pot of plant symbolize?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The beauty of nature.,The mess and unsatisfactory cleaning process of using rolled toilet paper.,The durability of the pot.,The effectiveness of Neve toilet paper and wipes.,None of the above
0567-7,trYIAMCLeOs,https://www.youtube.com/shorts/trYIAMCLeOs,56.94,Multiple-choice Question with a Single Correct Answer,Element Localization,What is the hair color of the third person in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Black,Blonde with dark roots,Red,Brown,None of the above
0571-7,ragJEXeqcbE,https://www.youtube.com/shorts/ragJEXeqcbE,50.11,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Where is the man's ring worn in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Ring finger of his right hand,Index finger of his right hand,Thumb of his left hand,Middle finger of his left hand,None of the above
0575-7,xW8pfZ5WpNQ,https://www.youtube.com/shorts/xW8pfZ5WpNQ,15.57,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),What is the little girl wearing on her feet?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Two pink flip-flops,Barefoot,Two phones with pink cases,One pink flip flop and a phone with a pink slipper case,None of the above
0576-7,3bisVkxCA0c,https://www.youtube.com/shorts/3bisVkxCA0c,13.25,Multiple-choice Question with a Single Correct Answer,Element Localization,Which individual uses a belt in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Neither,Both,Millennial,GEN-Z,None of the above
0578-7,_hkdNurB1Fk,https://www.youtube.com/shorts/_hkdNurB1Fk,58.09,Multiple-choice Question with a Single Correct Answer,Element Counting,How many people are in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",10,8,12,6,None of the above
0580-7,85l_AvYt-XE,https://www.youtube.com/shorts/85l_AvYt-XE,10.97,Multiple-choice Question with a Single Correct Answer,Event Counting,How many steps did the girl run before reaching the top?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three,Four,Five,Six,None of the above
0588-7,y5lL-l01ujA,https://www.youtube.com/shorts/y5lL-l01ujA,18.71,Multiple-choice Question with a Single Correct Answer,Element Counting,How many drawers are on the desk with the globe?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Four,Five,Three,Six,None of the above
0589-7,CltBandLYjM,https://www.youtube.com/shorts/CltBandLYjM,40.15,Multiple-choice Question with a Single Correct Answer,Event Localization,How much chocolate was left uneaten at the six-hour mark?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Half,A quarter,None,All,None of the above
0590-7,bbiCkBWaOL8,https://www.youtube.com/shorts/bbiCkBWaOL8,59.3,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,What made the man in the black jacket scream at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He saw a scary movie scene.,A spider toy was put in his face.,He stepped on sharp objects.,He heard a loud noise.,None of the above
0595-7,7tVlEGngX0s,https://www.youtube.com/shorts/7tVlEGngX0s,28.84,Multiple-choice Question with a Single Correct Answer,Element Localization,What kinds of items did the boy score with in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","Soccer ball, Rugby ball, Tennis ball","Baseball, Volleyball, Tennis ball","Blue exercise ball, Volleyball, Baseball","Blue exercise ball, Soccer ball, Tennis ball",None of the above
0597-7,c4LTFnR3F0w,https://www.youtube.com/shorts/c4LTFnR3F0w,59.93,Multiple-choice Question with a Single Correct Answer,Element Localization,What is the person holding the camera in the video wearing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A blue t-shirt,A light gray t-shirt,A red jacket,A light gray jacket,None of the above
0600-7,UuJQx4Z8zG4,https://www.youtube.com/shorts/UuJQx4Z8zG4,28.97,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Where did the orange ball hit the boy?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",On his back,On his arm,On his head,On his leg,None of the above
0603-7,mgULlk8dagE,https://www.youtube.com/shorts/mgULlk8dagE,46.36,Multiple-choice Question with a Single Correct Answer,Element Localization,What is the person who failed twice and lost the heart-shaped pattern wearing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A blue shirt and dark blue pants,A blue shirt and white pants,A red shirt with a white 'm' logo and black pants,A blue shirt with a white 'm' logo and black pants,None of the above
0607-7,7pTwqG9VM7o,https://www.youtube.com/shorts/7pTwqG9VM7o,26.94,Multiple-choice Question with a Single Correct Answer,Event Localization,Where is the man in the video standing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",hanging upside down from the ceiling,On the ground made to look like a ceiling,On the ceiling using equipment,On a wall using suction cups,None of the above
0609-7,MlPYPW1_a0U,https://www.youtube.com/shorts/MlPYPW1_a0U,17.47,Multiple-choice Question with a Single Correct Answer,Plot Attribute,How is the elimination process determined in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Participants are eliminated if they keep hands still while the ball is still held by the carrier.,The person holding the ball when it stops is eliminated.,Participants are eliminated if they move their hands while the ball is still held by the carrier.,The person who is hitted by the ball is eliminated .,None of the above
0610-7,Ldcs4Venq1Q,https://www.youtube.com/shorts/Ldcs4Venq1Q,57.24,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why did the woman throw the package out of the window?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",She was preventing the men from getting it.,She wanted the two men to help her put it in the mailbox.,She was trying to get rid of it quickly.,She was frustrated with it.,None of the above
0612-7,qUCG8W5hMdw,https://www.youtube.com/shorts/qUCG8W5hMdw,58.56,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why does the person divide the paper into two parts?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To prove $300 pencils can draw better than $0 pencils.,To compare $0 pencils with $300 pencils without any specific tools.,To prove $0 pencils can draw better than $300 pencils.,To compare $0 pencils with $300 pencils using non-drawing tools.,None of the above
0614-7,JOd2FBcirwk,https://www.youtube.com/shorts/JOd2FBcirwk,60.08,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why are the man's hands trembling while he is eating?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Essential tremor,Pretending to have a disability,Nervousness,Excitement,None of the above
0616-7,PN2XQBfWV2M,https://www.youtube.com/shorts/PN2XQBfWV2M,29.68,Multiple-choice Question with a Single Correct Answer,Local Event Attribute,Which ball reaches the finish line first?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",White,Red,Black,Blue,None of the above
0620-7,7pTwqG9VM7o,https://www.youtube.com/shorts/7pTwqG9VM7o,26.94,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),Where is the man in the video standing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",On the ground made to look like a ceiling,On the ceiling using equipment,Floating in mid-air,On a wall using suction cups,None of the above
0621-7,9SzIZz1CDcc,https://www.youtube.com/shorts/9SzIZz1CDcc,7.96,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which foot is placed against the wall first in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Right foot,Neither foot,Left foot,Both feet simultaneously,None of the above
0625-7,yQ2YZQhvc2c,https://www.youtube.com/shorts/yQ2YZQhvc2c,24.03,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,What is the path of the second ball's displacement?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Horizontal groove,Zigzag path,Circular track,Vertical groove,None of the above
0627-7,pUIkzB8KebU,https://www.youtube.com/shorts/pUIkzB8KebU,15.15,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,Who changed position in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The woman.,The little boy.,The photographer.,The dinosaur.,None of the above
0633-7,jI5XO3aa5_g,https://www.youtube.com/shorts/jI5XO3aa5_g,20.03,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,What is the direction of the wheels of the black car at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Not moving,Forward,Sideways,In reverse,None of the above
0643-7,KwKJ6gtOGpQ,https://www.youtube.com/shorts/KwKJ6gtOGpQ,6.62,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,What is the wind direction on that day based on the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",From top to bottom,From bottom to top,From the left to the right,From the right to the left,None of the above
0645-7,7mm85XogfLw,https://www.youtube.com/shorts/7mm85XogfLw,12.78,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Where is the left end of the scarf located at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Center,Left side,Not visible,Right side,None of the above
0652-7,o77rfiYxaz8,https://www.youtube.com/shorts/o77rfiYxaz8,12.5,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,What happened to the car after the spin?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It ended up in the innermost lane facing the correct direction.,It returned to its original lane and continued driving.,It is in the same position it started in.,It moved from the left lane to the right lane.,None of the above
0655-7,tc_u7WlfrfU,https://www.youtube.com/shorts/tc_u7WlfrfU,10.33,Multiple-choice Question with a Single Correct Answer,Event Duration & Speed Attribute,Which is faster in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The camera,Neither is moving,The truck,Both are the same speed,None of the above
0658-7,i1ki36EMLp8,https://www.youtube.com/shorts/i1ki36EMLp8,19.8,Multiple-choice Question with a Single Correct Answer,Event Duration & Speed Attribute,Who is faster during the race?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The rider in the black outfit,Neither is fast,Both are equally fast,The rider in the white outfit,None of the above
0664-7,v02xe4_I5uY,https://www.youtube.com/shorts/v02xe4_I5uY,56.26,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times did the woman roll the dice?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",3,10,12,9,None of the above
0667-7,oI--S1dz9EM,https://www.youtube.com/shorts/oI--S1dz9EM,45.42,Multiple-choice Question with a Single Correct Answer,Event Counting,How many people participated in the challenge in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Eight,Seven,Six,Five,None of the above
0670-7,CCmVxAlwuo0,https://www.youtube.com/shorts/CCmVxAlwuo0,43.07,Multiple-choice Question with a Single Correct Answer,Event Counting,How many children jumped into the water in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Four,Three,One,Two,None of the above
0673-7,nfCZqSebCuE,https://www.youtube.com/shorts/nfCZqSebCuE,13.51,Multiple-choice Question with a Single Correct Answer,Element Counting,How many buckets of real popcorn are shown in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Two,One,Three,Four,None of the above
0675-7,wsPyV3igUG4,https://www.youtube.com/shorts/wsPyV3igUG4,43.35,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,How did the man on the left feel after the magic tricks were revealed?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A sense of satisfaction,Amused and impressed,Displeased because he was exposed,Amused,None of the above
0679-7,K7T7JYxlcPo,https://www.youtube.com/shorts/K7T7JYxlcPo,10.22,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,How does the woman in the white tank top feel at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Indifferent,Surprised,Upset,Annoyed,None of the above
0689-7,vwajGCpsoJ0,https://www.youtube.com/shorts/vwajGCpsoJ0,19.01,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why did the man in the purple T-shirt change the lock screen wallpaper to his own photo?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",As a prank.,To make the other man think the phone was his.,To record a funny video.,To surprise the other man.,None of the above
0690-7,l2erI86JxzE,https://www.youtube.com/shorts/l2erI86JxzE,27.76,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why is the child lying on the ground?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To sleep.,To play with toys.,To secretly get money.,To relax.,None of the above
0695-7,DN-gN9LaFGg,https://www.youtube.com/shorts/DN-gN9LaFGg,42.45,Multiple-choice Question with a Single Correct Answer,Plot Attribute,Who won the cup matching game?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The woman,The man,It was a tie,Neither of them,None of the above
0706-7,zLAwp0V1vng,https://www.youtube.com/shorts/zLAwp0V1vng,16.95,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,What is the purpose of the man's actions in the first half of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Setting up a camera on a tripod,Shooting video material for the second half,Demonstrating moves for social media,Practicing martial arts,None of the above
0707-7,VGmKsn6gx50,https://www.youtube.com/shorts/VGmKsn6gx50,18.24,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,What is the purpose of the person running towards the camera?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To show the drink up close for post-production,To review the beverage,To engage the audience,To create a dynamic introduction,None of the above
0708-7,dIKw3x7iLUo,https://www.youtube.com/shorts/dIKw3x7iLUo,18.9,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,Why did the cat scream in the last shot?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It was scared of the water.,It was upset about the mess in the bathtub.,"It thought it had destroyed all the bath products, but more were brought out.",It was hungry.,None of the above
0721-7,ir89-1OXw5U,https://www.youtube.com/shorts/ir89-1OXw5U,32.97,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),What is the man in sunglasses holding in his hand?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A potato chip,Nothing,A plane,A sail,None of the above
0723-7,pUIkzB8KebU,https://www.youtube.com/shorts/pUIkzB8KebU,15.15,Multiple-choice Question with a Single Correct Answer,Objective Causality,Why does the little monster in the video appear to be active?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It is a robotic creature.,It is being manipulated by a person.,It is animated using CGI.,It is painted on a concave surface creating an optical illusion.,None of the above
0724-7,9Iof4qwbrwQ,https://www.youtube.com/shorts/9Iof4qwbrwQ,43.99,Multiple-choice Question with a Single Correct Answer,Objective Causality,Why does the pen pass through the banknote without breaking it?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The pen is very sharp.,The pen has a hidden mechanism.,The bill is specially folded.,The banknote is made of special material.,None of the above
0725-7,PVMqxKAXDQo,https://www.youtube.com/shorts/PVMqxKAXDQo,58.11,Multiple-choice Question with a Single Correct Answer,Objective Causality,Why does the drink level in the bottle decrease?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The balloon inside the bottle is deflating.,The drink is evaporating.,It is being consumed through a straw.,The bottle has a leak.,None of the above
0729-7,fj2WYT0qBWA,https://www.youtube.com/shorts/fj2WYT0qBWA,10.45,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),Which color of the long strips is the longest in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Black,Red,Green,Blue,None of the above
0731-7,oSyWpIh4vF8,https://www.youtube.com/shorts/oSyWpIh4vF8,9.98,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),What does the old man's nose resemble in the image?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A mermaid sitting on a reef,A tree branch,A bird's head and beak,A mountain peak,None of the above
0735-7,fBExhFE2-ew,https://www.youtube.com/shorts/fBExhFE2-ew,51.05,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),How was the scenery on the artboard created in the second segment?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Printed on the canvas,Reflected by a mirror,Projected with a light,Painted by an artist,None of the above
0738-7,YpwGoqs1zjA,https://www.youtube.com/shorts/YpwGoqs1zjA,13.28,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),How did the man in the video film the sky changing from black to bright?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",By adjusting the brightness or exposure settings.,By using a time-lapse feature.,By changing the camera angle.,By using a filter.,None of the above
0740-7,AoUnw7jcHhg,https://www.youtube.com/shorts/AoUnw7jcHhg,28.58,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,What is the third step in the calculation process for the first math problem?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Performing the division of 8 Ã· 2,Performing the subtraction of 8 - 4,Performing the addition of 2 + 2,Performing the multiplication of 4 Ã— 4,None of the above
0742-7,LiP7IkD0-fk,https://www.youtube.com/shorts/LiP7IkD0-fk,36.71,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,What is the value of x in the diagram?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",45,18,25,90,None of the above
0743-7,Db26nmr_95c,https://www.youtube.com/shorts/Db26nmr_95c,37.15,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,What is the answer to the third math question in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",25,28,26,27,None of the above
0749-7,FBXl4t_t0aM,https://www.youtube.com/shorts/FBXl4t_t0aM,59.95,Multiple-choice Question with a Single Correct Answer,Element Attributes,"In the first physics experiment, what substances can pass through the sieve?","Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Smaller particles like liquid,None of the above,Only the white powder,Rice and a yellow coarse grain,None of the above
0755-7,HsXS1Qt11cU,https://www.youtube.com/shorts/HsXS1Qt11cU,17.62,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),What is the material of the sponge in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Synthetic materials,Edible material like cake,Plastic,Metal,None of the above
0757-7,as--BPL2gRQ,https://www.youtube.com/shorts/as--BPL2gRQ,5.97,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which foot of the boy in red is in the pit?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Left foot,Right foot,Both feet,Neither foot,None of the above
0762-7,Jo7sfpeWqwE,https://www.youtube.com/shorts/Jo7sfpeWqwE,19.69,Multiple-choice Question with a Single Correct Answer,Element Attributes,What is the second boat made of?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Wood,Mattress,Paper,Plastic,None of the above
0763-7,XNYK4k7hq3Y,https://www.youtube.com/shorts/XNYK4k7hq3Y,58.84,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),Which canned Coke is real?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The one taken away.,Neither is real.,Both are real.,The one still in the picture.,None of the above
0766-7,eoeIl02oH90,https://www.youtube.com/shorts/eoeIl02oH90,19.04,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which shoulder did the archer use to release the bow?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Both shoulders,Neither shoulder,Left shoulder,Right shoulder,None of the above
0777-7,LLo9u8GYUU0,https://www.youtube.com/shorts/LLo9u8GYUU0,59.28,Multiple-choice Question with a Single Correct Answer,Event Counting,How many trick shots are shown in the images?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",10,12,14,8,None of the above
0779-7,jt3v-FRTbrY,https://www.youtube.com/shorts/jt3v-FRTbrY,19.62,Multiple-choice Question with a Single Correct Answer,Objective Causality,How is the Penrose Triangle illusion achieved in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",By constructing a 3D convex object that appears as floating cubes.,By painting a triangle on a flat surface.,By aligning blocks to form a continuous triangle.,By using mirrors to reflect the shape.,None of the above
0790-7,HPoyer1Ix-o,https://www.youtube.com/shorts/HPoyer1Ix-o,35.78,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,How should the transparent sheet be adjusted to see the blue tube?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Rotate by 180 degrees.,Rotate by 45 degrees.,Do not rotate.,Rotate by 90 degrees.,None of the above
0794-7,pxtbNUqh3Sc,https://www.youtube.com/shorts/pxtbNUqh3Sc,17.14,Multiple-choice Question with a Single Correct Answer,Plot Attribute,Who is the 'friend' mentioned in the caption?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The white cat leaving quickly at the beginning of the video.,The white cat leading another along a narrow ledge.,The cat with a black spot on its ear.,The balck dog.,None of the above
